"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HES2",0.901176159316194,-0.543467867795798,0.289551691001299,-1.87692866139525,0.0605278719974434,0.132502036264952
"HIVEP2",20.7527784174608,-0.230028593889777,0.122572303938879,-1.87667675729162,0.0605624100926266,0.132541572837149
"WAPL",9.13009972359487,-0.260462899309027,0.138786023991772,-1.87672282710879,0.0605560923270156,0.132541572837149
"PSMC3",0.765321445735949,-0.612089323224789,0.326163970736446,-1.87663070768593,0.0605687256324305,0.132541572837149
"SENP2",4.19216374634002,-0.288449620180605,0.153713886482866,-1.87653586010107,0.0605817353615435,0.132553414446523
"GXYLT2",8.08112982502894,-0.263374825358825,0.140364281458954,-1.8763664275647,0.0606049812676443,0.132587647129929
"IRAK4",2.7854495756368,-0.342248370871219,0.182417893574958,-1.87617762799451,0.0606308930107363,0.132602674705894
"DAAM1",18.9149285681439,-0.236423310074048,0.126015127220541,-1.87615023123597,0.060634653833701,0.132602674705894
"PKD1",4.41266126083487,0.299764384776003,0.159768284509758,1.87624462324182,0.060621697216465,0.132602674705894
"CNOT8",2.03487595215673,-0.373009657312051,0.198851535777706,-1.87581984646593,0.0606800218182828,0.132668627725272
"USP3",9.92724768776663,-0.222995239739942,0.118875882918964,-1.87586610727387,0.060673667654369,0.132668627725272
"IPCEF1",18.5903325728204,-0.239145825653919,0.127513760545937,-1.87545112488284,0.0607306873720064,0.132731740295719
"CTCFL",2.737407368539,-0.355225099977939,0.189408569451549,-1.87544365604222,0.0607317140177947,0.132731740295719
"ZDHHC9",3.66047304632127,-0.358362603790534,0.191072791945996,-1.87552921659207,0.0607199539668745,0.132731740295719
"ANO4",38.9226286583337,-0.249924148208924,0.133272597938367,-1.87528533303225,0.0607534800362971,0.132762678095102
"SPCS3",2.21121593172669,-0.446973640482344,0.23835741053811,-1.87522443490751,0.0607618539435307,0.132764346448509
"CD177",1.02908037363575,-0.533782629360873,0.284674042480574,-1.87506603942402,0.0607836388809177,0.132795313747979
"GNA15",2.05530486164233,-0.396504731323036,0.211503501701386,-1.87469582363155,0.0608345817844267,0.132889967346522
"TRPV2",1.4984420883759,-0.472840101293812,0.252254803135133,-1.87445430341523,0.0608678348180631,0.132945959484301
"PROZ",1.5160501281547,-0.430924035033933,0.2299144162376,-1.87428018688747,0.0608918169041961,0.132981690772872
"UBE3D",17.2023665919556,-0.243624235910244,0.130000762341411,-1.87402159435368,0.0609274488100461,0.133042851982883
"ACAN",5.70025027074734,-0.334672259588409,0.178590884735998,-1.87396047722782,0.0609358727661658,0.133044593292336
"HOXD13",0.843289586527136,-0.661181531137315,0.352891180548126,-1.87361307842928,0.0609837741124887,0.133120804125539
"IL17RE",0.934528667071566,-0.516505679352101,0.275676026080266,-1.87359665146114,0.0609860399295677,0.133120804125539
"ARF6",2.67656812339073,0.434264293406515,0.231788793785991,1.87353446348001,0.060994618321285,0.133122872089931
"MORC3",6.11702205635,-0.272397464664567,0.145408284383807,-1.87332837203121,0.0610230543230398,0.133168274038708
"FXYD2",1.9002852850876,-0.430161148355762,0.229714461124898,-1.87259063382117,0.0611249356920143,0.133373921594395
"RGPD8",0.910579946173887,-0.506361596103553,0.270463692377645,-1.87219804496541,0.0611792094742215,0.133475651485467
"WDR54",0.421770029086893,-0.64913443548967,0.346769790266946,-1.87194632782158,0.0612140293208772,0.133518222243399
"TRAFD1",2.51020067234724,-0.309731670493122,0.165455197320863,-1.87199722649067,0.0612069872220399,0.133518222243399
