"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GIMAP7",1.28748464598638,0.375834556364977,0.158035020668893,2.37817260233988,0.0173986797174094,0.0881751160693693
"SGCG",13.7479408174234,0.202479381991335,0.085148779675084,2.37794813694298,0.0174092743197419,0.0881753366606566
"CYB5B",5.00967046086016,0.224374740904789,0.09435606613372,2.3779577731315,0.0174088193825152,0.0881753366606566
"CHI3L1",0.710893049976697,-0.505070230177175,0.212409896921168,-2.37780930878481,0.0174158297380937,0.0881818170986061
"MEX3A",1.51457160669341,-0.330414756617704,0.1390425583713,-2.37635699808805,0.017484537216402,0.0884157882526501
"VHL",1.82175038942384,-0.3746432990305,0.157665283643775,-2.37619398749162,0.0174922639116718,0.0884157882526501
"PSKH2",4.87588044094676,0.235203027890454,0.098984422576555,2.37616204416959,0.0174937783745072,0.0884157882526501
"HAUS6",21.4024173582839,-0.300877834200934,0.126599344582315,-2.37661446979533,0.0174723391642685,0.0884157882526501
"NFKB2",1.33841727639107,-0.554752179365674,0.233426638617594,-2.37655900222461,0.0174749663807921,0.0884157882526501
"ZNF720",12.6781433106379,0.198719994449139,0.0836213786920571,2.37642571262717,0.0174812810468506,0.0884157882526501
"SOX11",1.06915619039201,0.394566214610396,0.16606370692764,2.37599305658234,0.0175017921472495,0.0884295507705949
"MYT1L",62.164671394822,0.168110157330796,0.070773805998469,2.37531605032563,0.0175339295958119,0.0885651554138412
"PEX7",11.0389507629664,0.199821642496108,0.0841315997615354,2.37510808141634,0.0175438122495311,0.0885883014920434
"ACSM4",2.44034322061567,0.298316604805874,0.125631092674056,2.37454437795778,0.0175706239192149,0.0886968916296462
"MAFG",1.63747986174349,-0.400994031806045,0.168883004604174,-2.3743894937557,0.0175779970306413,0.0887073195562011
"SPICE1",8.60322860568425,0.205410102918341,0.0865344165403329,2.37373880972088,0.0176090018483281,0.0887565913428699
"MICU2",11.7124867287727,0.189461658279378,0.0798095699132758,2.37392155458618,0.0176002892959463,0.0887565913428699
"ZNF43",4.62532592275948,0.241440126275206,0.101712909872218,2.37374121513706,0.0176088871430498,0.0887565913428699
"WWC3",13.4179278999703,0.207537932646647,0.0874261609909736,2.37386533154618,0.0176029693855969,0.0887565913428699
"PLEKHG1",25.8915330425633,0.182147758800348,0.0767443915933558,2.37343413660104,0.0176235358632104,0.0888030685612598
"MCOLN2",9.75106287570347,0.209532027593027,0.0882986939144953,2.37299124487536,0.0176446821595476,0.0888828262853163
"LDAH",17.5185632246883,0.18478702496401,0.0778892565718035,2.37243277310859,0.0176713786372129,0.0889904858518762
"STX4",0.955520508668342,-0.440039932090707,0.18551569971586,-2.37198217059085,0.0176929444680672,0.0890722511564082
"SSRP1",1.69128496746019,-0.368205784310977,0.155248926050561,-2.37171227961385,0.0177058724889922,0.0891104946645635
"PNCK",3.3092829823133,-0.283040812079198,0.119363115909212,-2.37125857450371,0.0177276240292505,0.0891931089779932
"RABGAP1L",103.472045412738,0.155788540255904,0.0657050226356678,2.37102939785512,0.0177386201203307,0.0892215758926293
"CEP89",10.259798231332,0.19774626691408,0.0834064132816925,2.37087604098527,0.0177459816514313,0.0892317500968778
"PBX3",27.0910652513208,0.179548316353105,0.0757382101291202,2.37064377474735,0.0177571361366447,0.0892609844775575
"RNPEPL1",2.53123655520793,-0.387413544804106,0.163441052384077,-2.37035640160776,0.0177709456100941,0.0892844442699356
"ACTR3B",17.5364462839342,0.179741781599181,0.0758300366706267,2.37032433967958,0.0177724869023618,0.0892844442699356
"GNRHR",1.57117688882109,0.310089348905905,0.13086251849924,2.36958108755722,0.0178082496269595,0.08941035874587
"CYB5R3",3.64150514673102,-0.281627189782272,0.118850004638688,-2.36960184089548,0.0178072501928915,0.08941035874587
"NLK",19.6854757052997,0.166920918264572,0.0704922029370773,2.36793448508863,0.0178877031136368,0.0897823032556531
"TRIM43B",0.883141824165824,0.434607967868661,0.183583720189974,2.36735570789679,0.0179157045175369,0.0898958526887156
"XK",5.46896991039459,0.228034464689209,0.0964163474702952,2.3651016728202,0.0180251216815367,0.0904177322284525
"AFF3",71.0927038687257,0.174088347601808,0.0736236145649716,2.36457213667739,0.0180509115915083,0.0905199328954303
"SLC17A1",6.61126800847031,0.221060857432157,0.0934973465841148,2.36435434275432,0.0180615281484608,0.090546005240964
"SASS6",6.90503065140466,0.209675553158929,0.0887052732210229,2.36373267952729,0.0180918617594235,0.0905821661733623
"FCER1A",2.24652588250036,0.292700960932002,0.123817435769269,2.36397207803142,0.01808017520287,0.0905821661733623
"SMPD4",4.21771636315176,-0.289740114041577,0.122575687177601,-2.36376495790531,0.0180902856616894,0.0905821661733623
"MTPN",12.8599481613583,0.213951575392724,0.0905126923973161,2.3637742920469,0.0180898299140097,0.0905821661733623
"ZYX",5.28544808192201,-0.385399347992262,0.163052544277866,-2.36365123708517,0.0180958389884442,0.0905821661733623
"BASP1",27.171267078406,0.170090208089157,0.0719690876965174,2.36337868845026,0.0181091544282138,0.0905945546582357
"PPP1R12A",21.1025895876547,0.167750809344245,0.0709774510657424,2.36343806131988,0.0181062530192853,0.0905945546582357
"KIF4A",14.6710301315348,0.172428601264969,0.0729739726728621,2.3628780913156,0.0181336335958885,0.0906898719095395
"MAF1",1.04146180490586,-0.51519849662799,0.218118028393722,-2.36201702547031,0.0181758074531402,0.0908464251709885
"RDX",48.1589536021515,0.169850306344016,0.0719089442710308,2.36201919060077,0.0181757013003183,0.0908464251709885
"KIFC2",0.621387778056026,-0.523325264302993,0.221589561811881,-2.36168734674998,0.0181919774001911,0.0908728960749532
"RP11-322E11.6",6.98479934380889,0.218774697560233,0.0926336727335711,2.36171892039154,0.0181904282439122,0.0908728960749532
"NCOR2",27.0509703455974,-0.187823486467444,0.0795423988220174,-2.36130025306019,0.0182109794897261,0.0909406367467233
"ATG4A",7.38229031229439,0.223104390834465,0.0944944124722096,2.36103262613627,0.0182241272197113,0.0909791106183558
"DIPK2A",9.42446765056652,0.183769147638141,0.0778409943849742,2.36082733898906,0.0182342180102621,0.0910023051130248
"PIK3R2",1.40081501303146,-0.396558111993473,0.168018570601522,-2.36020405705011,0.0182648851129992,0.0911281462025876
"USP38",5.02300472714698,0.229537792486412,0.0972704661083613,2.35978917003135,0.0182853236647958,0.0912028945787519
"MYSM1",7.03994777301643,0.218386312115571,0.0925853285057588,2.35875722039468,0.0183362473930209,0.0912492809221649
"OR2L2",1.5018851589909,0.321833532440832,0.13641950972956,2.35914593945426,0.0183170506761385,0.0912492809221649
"ANKRD36B",10.0891127829483,0.209779823296226,0.0889336610299295,2.35883489858387,0.0183324098829547,0.0912492809221649
"RAPGEF4",37.7476515291975,0.183791702583994,0.0779198203326412,2.35872852118221,0.0183376653886769,0.0912492809221649
"COL3A1",4.46347127965346,0.22781890004995,0.0965700646196946,2.35910476965227,0.0183190829950347,0.0912492809221649
"MYLK4",9.43788435305974,0.208653266534727,0.0884646845327444,2.35860521785386,0.0183437587590328,0.0912492809221649
"DCAF10",5.92881829757778,0.208045439552222,0.0882065197778662,2.35861748174795,0.0183431526258821,0.0912492809221649
"LUM",0.896550846216334,0.411698264130296,0.174496634861058,2.35934787199828,0.0183070852733302,0.0912492809221649
"TANGO2",497.186170280567,-0.318828847544241,0.135157270965534,-2.3589470641616,0.0183268698443399,0.0912492809221649
"ATP2B2",40.7824323435064,0.201431187647394,0.0854091519724115,2.35842626926514,0.0183526051444474,0.091266123887026
"CWH43",9.90081161591814,0.219033199261697,0.0929000345831686,2.35773000779249,0.0183870606140668,0.0913830898315529
"PGM2L1",8.32706670217182,0.2004547227999,0.0850198128148955,2.35774128597917,0.0183865020464308,0.0913830898315529
"PCNX4",8.23248250094664,0.213100181789458,0.090417724314001,2.35684080091871,0.0184311465787673,0.091574965492722
"PLAC8",4.68539908452274,0.218194991357691,0.0926019204687166,2.35626853366829,0.0184595679071529,0.0916344573805029
"DEPDC1B",13.2289954070797,0.185378268998472,0.0786713918750311,2.35636188174914,0.018454929211205,0.0916344573805029
"GALNT10",26.722812267403,0.168220303610723,0.0713898049880257,2.35636311990121,0.0184548676912362,0.0916344573805029
"FAM131C",1.49060008968144,-0.418694558272102,0.177793092612181,-2.35495402054453,0.0185249977428931,0.0916870905238557
