"pathway","pval","padj","ES","NES","nMoreExtreme","size","Comparison"
"grey",0.984101589841016,0.984101589841016,-0.273042495015266,-0.868295074649532,9841,682,"NOR_vs_IPAH_DEG"
"lightcyan",0.00436681222707424,0.00873362445414847,0.625246749135303,2.84484386596046,0,27,"NOR_vs_IPAH_DEG"
"magenta",0.0572691650758565,0.0763588867678087,-0.455394940409448,-1.29118264135312,569,48,"NOR_vs_IPAH_DEG"
"midnightblue",0.00714285714285714,0.0126984126984127,0.700597312282149,3.35700892628002,0,33,"NOR_vs_IPAH_DEG"
"pink",0.000100300902708124,0.000230484449502298,-0.858426827053194,-2.46796757470148,0,56,"NOR_vs_IPAH_DEG"
"purple",0.632810930279285,0.674998325631237,-0.330322082613461,-0.94135060839603,6298,51,"NOR_vs_IPAH_DEG"
"red",0.0357142857142857,0.0519480519480519,0.747820872444371,4.17609758542015,0,61,"NOR_vs_IPAH_DEG"
"salmon",0.0127946806367117,0.0204714890187387,-0.511574401456209,-1.43266914596844,126,42,"NOR_vs_IPAH_DEG"
"tan",0.000100573267625465,0.000230484449502298,-0.699158800894536,-1.97353471154257,0,46,"NOR_vs_IPAH_DEG"
"turquoise",NA,NA,0.28817591214865,NA,0,2811,"NOR_vs_IPAH_DEG"
"yellow",9.99900009999e-05,0.000230484449502298,-0.727182369051579,-2.2662585866126,0,290,"NOR_vs_IPAH_DEG"
"black",0.000241254523522316,0.000380747609128984,0.506437366636817,1.98942758170969,0,72,"NOR_vs_SLE_DEG"
"blue",0.000131509731720147,0.000380747609128984,-0.475648738359877,-2.43407006338103,0,1224,"NOR_vs_SLE_DEG"
"brown",0.000153069034134395,0.000380747609128984,-0.493711737708816,-2.30047568089937,0,333,"NOR_vs_SLE_DEG"
"cyan",0.000236183278223902,0.000380747609128984,0.882042125040897,3.04673815008361,0,39,"NOR_vs_SLE_DEG"
"green",0.000246366100024637,0.000380747609128984,0.647735444853063,2.64759677338004,0,90,"NOR_vs_SLE_DEG"
"greenyellow",0.000238038562247084,0.000380747609128984,0.897984101694158,3.22186548348309,0,46,"NOR_vs_SLE_DEG"
"grey",0.000715102974828375,0.00101306254767353,-0.281583383861409,-1.3897268105885,4,682,"NOR_vs_SLE_DEG"
"lightcyan",0.129017447199265,0.146219773492501,0.409661977197903,1.30200925471078,561,27,"NOR_vs_SLE_DEG"
"magenta",0.000173160173160173,0.000380747609128984,-0.659921002138818,-2.31935114599716,0,48,"NOR_vs_SLE_DEG"
"midnightblue",0.060126582278481,0.0730108499095841,-0.435389236326433,-1.41378496462127,341,33,"NOR_vs_SLE_DEG"
"pink",0.000238606537819136,0.000380747609128984,0.67430528071201,2.52521206003439,0,56,"NOR_vs_SLE_DEG"
"purple",0.231263383297645,0.245717344753747,0.313191404762514,1.15130409997263,971,51,"NOR_vs_SLE_DEG"
"red",0.000241080038572806,0.000380747609128984,0.59523008918644,2.2627177794657,0,61,"NOR_vs_SLE_DEG"
"salmon",0.734718614718615,0.734718614718615,-0.244961598375108,-0.83939999042778,4242,42,"NOR_vs_SLE_DEG"
"tan",0.000238038562247084,0.000380747609128984,0.888323365007811,3.18720385192855,0,46,"NOR_vs_SLE_DEG"
"turquoise",0.000824305228450306,0.00107793760643502,-0.225681137624041,-1.19322969139237,6,2811,"NOR_vs_SLE_DEG"
"yellow",0.000155207201614155,0.000380747609128984,-0.483079462138633,-2.21912090188504,0,290,"NOR_vs_SLE_DEG"
