"","Module","MMlightcyan","MMsalmon","MMbrown","MMyellow","MMblue","MMmidnightblue","MMturquoise","MMblack","MMcyan","MMgreen","MMtan","MMgreenyellow","MMpink","MMmagenta","MMpurple","MMred","MMgrey","p.MMlightcyan","p.MMsalmon","p.MMbrown","p.MMyellow","p.MMblue","p.MMmidnightblue","p.MMturquoise","p.MMblack","p.MMcyan","p.MMgreen","p.MMtan","p.MMgreenyellow","p.MMpink","p.MMmagenta","p.MMpurple","p.MMred","p.MMgrey","GS.IPAH","GS.CHD","GS.SLE","p.GS.IPAH","p.GS.CHD","p.GS.SLE"
"TMEM88B","grey",-0.0730203771685732,0.129750803085208,-0.183007358227832,-0.0439806215176253,-0.0702526291541483,-0.166272521289935,-0.187073769085837,0.166983221943285,0.110693074474277,0.206037660962788,0.0854099979391149,0.211523827626784,0.256524343301457,0.00898952279394905,0.00741938164820593,0.0611372731153761,-0.124815009747434,0.127478511829205,0.00660553311716768,0.000119442473525673,0.359034999123003,0.142592459751098,0.000482620941571868,8.34473615997253e-05,0.000456003977928431,0.0206415534221039,1.41542101341407e-05,0.0744880962518856,8.20722984505013e-06,5.37515282366377e-08,0.851356879762412,0.877091971927429,0.202104099149393,0.00900276644591643,-0.137334660375366,0.0854389630010864,-0.0634315552224039,0.0040232090144699,0.0743894312616717,0.185654857128483
"MIB2","greenyellow",0.0815857491131204,-0.0224004815693491,-0.214799336270565,0.143526002765894,-0.143704717911963,-0.34516700595699,-0.373387121520842,0.428056034742372,0.424626460448675,0.318228330319138,0.38725800725095,0.569164340035873,0.450803670256379,0.103434640930038,0.0805694680144951,0.0718864199005038,-0.140590302742134,0.0884803727047738,0.640507563146594,5.88694563456845e-06,0.00263547520220652,0.00260285217014792,1.13390151999868e-13,6.63248662868493e-16,6.73125935868127e-21,1.47605041813714e-20,9.67675992485685e-12,4.37593662299224e-17,7.01171051837644e-39,2.91933837083466e-23,0.030628771634537,0.0925340060761474,0.133513301412188,0.00322746409800019,-0.152819842938043,-0.101393360796281,0.215755286786202,0.00135381783037866,0.0340926006263093,5.33765585702046e-06
"FAAP20","grey",0.0861201337976098,0.155296147880601,-0.178027834754682,0.0582481695679445,0.0372391645916534,-0.224269441626085,-0.249661718287832,0.0830564560800588,0.127700601111496,0.262156643585604,0.0891450446963056,0.152461445353512,0.124338297769346,0.0851904582038546,0.291688522506946,0.187734015095529,-0.00852029573899702,0.0720996458130346,0.00112645155021372,0.000183394120481989,0.224291397195587,0.437449404712835,2.18759069393861e-06,1.2360325456215e-07,0.082868058691379,0.00752147853676016,2.66481592856457e-08,0.0626161334760689,0.00139001604399251,0.00927102759588538,0.0752393934020884,5.10538576804592e-10,7.86705075851528e-05,0.859032426944108,-0.129153590919711,0.0919844055836247,0.0211078244049375,0.00686143609744579,0.0546737515803849,0.659911994568739
"SKI","green",0.0551445273706181,0.161337264750412,0.121613178202774,0.2755660612023,0.347292941610747,-0.146660414529783,-0.0595821295637191,0.120000740754031,0.327523152814768,0.626587458235637,0.301747444881895,0.30143989904445,0.299822427457487,-0.0220998911566036,0.0625253631029771,-0.0506235111196798,0.286281778293552,0.250001814396678,0.000711199059947407,0.0109453975103186,4.68810440628018e-09,7.83442918507233e-14,0.00211404557637511,0.213840399260741,0.0120576154011051,2.19164868244255e-12,4.87376448019574e-49,1.19036730163333e-10,1.24560396542613e-10,1.57979698519784e-10,0.644998626968436,0.19202999189314,0.291010455144179,1.09102569574524e-09,-0.255382816405283,0.0698166117256703,0.115252415181167,6.18411653630382e-08,0.145093546616047,0.0159334701083998
"PLCH2","green",0.146737391283775,0.22176811610603,-0.142249810635696,0.0116191925393025,0.231988241894001,-0.119832750202842,-0.134207685038797,0.282146761740272,0.226216148125073,0.67254334500815,0.365201860819893,0.372434934143274,0.340709522919563,-0.125780868860511,-0.0202593431341055,-0.0203395730858706,0.102644929358455,0.00210251799066829,2.85342557183867e-06,0.00287947414993318,0.808620223409029,9.44981729569464e-07,0.0121790456962446,0.00495047486499667,1.929162806659e-09,1.77513322898417e-06,7.65714693326774e-59,3.10635182082069e-15,7.95550423159717e-16,2.43948230061631e-13,0.008480329649833,0.672774908283007,0.671554461048792,0.0319313529507003,-0.172715625681525,0.105514678003813,0.0735337569882288,0.000286181622682502,0.0274135049535424,0.124816881667225
"PANK4","tan",0.0230796830650854,0.124539897634708,0.103507621339008,0.198458579637085,0.228855635502217,-0.0702324751966074,-0.0314790725668654,0.056064432880399,0.139872893750882,0.352827853551037,0.441804074556698,0.212019173253619,0.170070797761958,0.0306775143821406,-0.0212547481089864,-0.0227561962215577,0.203246380595599,0.630408128201307,0.00915672535433356,0.0305107235018398,2.93518867321387e-05,1.3332485065264e-06,0.14270733527536,0.511609523395511,0.24217619006059,0.00338939280666613,2.95267353528569e-14,2.63887287812969e-22,7.80759995454255e-06,0.000355459551477494,0.522424075642742,0.657694648662719,0.635209809190059,1.85744436422932e-05,-0.121102950100099,0.0266258626457553,0.0934130630442986,0.0112870906610437,0.578822325809243,0.0510055265345561
"TTC34","blue",0.0953813366743661,0.254894839299839,0.0763523305366336,0.0534006952229424,0.511133792924477,-0.0231428213661094,0.0808556295989741,0.051610821294864,0.115744723460785,0.626693032972276,0.212054375577868,0.112166217373591,0.156244232338468,-0.147869372798871,-0.103880405236624,-0.0970901054468823,0.394625359632858,0.0462901689286189,6.56471739933781e-08,0.110965936522569,0.265315727073762,1.85506180586282e-30,0.629472737377385,0.0913778458738016,0.281691122981349,0.0154863155224075,4.64742940255557e-49,7.77991685553596e-06,0.0190029156657248,0.00104913588596123,0.00193950337122981,0.0299137908367054,0.0424984325508171,9.79078550088937e-18,-0.139917590538905,0.00525019217189055,0.0321156441968631,0.00337909277557274,0.912854079801679,0.503104672691616
"ARHGEF16","green",0.105554098031496,0.0968848885204745,-0.0968519775547632,0.00926496891487685,0.171952757439382,-0.119978595456905,-0.107025021380245,0.105750707748079,0.293745026633249,0.472387507534,0.195796694882636,0.291668621542365,0.181221049889038,-0.0817907812706696,-0.0352723255192868,-0.0065155444506609,0.0831792085903163,0.0273554852612413,0.0429395074399477,0.0430106008864573,0.846857652064837,0.000304746303747244,0.0120735614687245,0.0252647231208314,0.0270676826099359,3.80839786723493e-10,1.13003887215775e-25,3.76781591647302e-05,5.1198277292489e-10,0.000139486174878947,0.0876801141416322,0.462053982476682,0.891966885320051,0.0824129296830889,-0.129407384328161,0.0648578034492572,0.121986451270001,0.00675162137519042,0.175939114147383,0.0107012557002802
"MEGF6","green",0.0482435096825533,0.181886133676021,-0.154153456176717,0.0428313630214302,0.246960336927818,-0.197386951104349,-0.192087694980762,0.251284968552216,0.269946884839556,0.689886040865438,0.280723476379982,0.386061342786841,0.413434032363362,-0.0632656629332941,-0.0343214929605811,0.00926006882315965,0.122144515307355,0.314316465939796,0.000131680409755964,0.00122660196281755,0.371741723703198,1.70413154708654e-07,3.24691884258545e-05,5.30642674556389e-05,1.01727997800543e-07,9.82388560515701e-09,5.09865511601641e-63,2.34226141763158e-09,5.56102993733296e-17,1.79967377987664e-19,0.186810108829805,0.474219182633762,0.846937648783719,0.0105993355536661,-0.256309808618236,0.117045401408359,0.0719320886054276,5.51894491187228e-08,0.0143574716934878,0.133266074373287
"TPRG1L","grey",-0.000511004466154327,-0.0488728655843593,-0.0766791778958123,0.0618237172687907,-0.0563322558053926,-0.107416472187165,-0.139022559034773,0.0164630220487415,0.121956793317603,0.0729039700014579,0.034738188088445,0.00273126237670637,0.00931355158541991,0.0751308279010331,0.209146298770157,0.155777182105404,-0.0572316937086459,0.991501317448413,0.308037777490091,0.109441249957292,0.197075237455114,0.239930452090893,0.0247320999750778,0.00359085035664126,0.73145588086151,0.010720475697242,0.128088103627436,0.468866403481086,0.954599068231896,0.846064598207124,0.116812408253785,1.04120960741632e-05,0.00108659043699483,0.232495723910134,0.00550564939848385,0.0423386041841021,-0.00214478453178204,0.908631932729169,0.377273979026613,0.964340552584261
