"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TMEM100",1.65985156491629,0.0667002125029383,0.153914675238229,0.433358368197833,0.664754440495409,0.76614789979998
"RBM24",1.42077582754111,-0.0647454793398387,0.149513118902534,-0.433042129112734,0.664984163887521,0.766365241713214
"PARP15",6.96340884636685,0.0352834961219431,0.0815275661366678,0.43277995154174,0.665174639598818,0.766537328291009
"PCDHB13",0.602513736878889,-0.104713011025202,0.242010570152981,-0.432679493953552,0.665247629184631,0.766560276860666
"DSC3",7.34107298966779,0.032929546957419,0.0761131736154213,0.432639258005492,0.665276864353735,0.766560276860666
"CBWD5",2.76068089024399,0.0598991544488996,0.138506587525235,0.432464300212338,0.665403993426122,0.766659333264565
"ADORA3",0.616997233452356,0.0883306386191794,0.204319160591374,0.432316961187186,0.665511061415004,0.766735265040877
"HMX2",0.373663845982498,-0.184391882658951,0.426927087457856,-0.431904857002433,0.66581056455922,0.767032878245919
"PIK3IP1",1.88644580086781,-0.105866798519649,0.245237985245148,-0.431690051660719,0.665966698831322,0.767165299797897
"SLC9A2",10.8856166862041,-0.0282214929488489,0.0653901458583572,-0.431586328159903,0.666042096895161,0.767204706046337
"C1orf87",9.18863122475742,-0.0307828337537998,0.0714388274268805,-0.430897802533319,0.666542681342353,0.767591441986069
"NEK10",32.5479889820592,-0.018967948296071,0.0440149917733661,-0.430942902221525,0.666509887597047,0.767591441986069
"MTMR7",14.8338180481384,-0.0241923685848286,0.056134327903352,-0.430972801998827,0.666488146652146,0.767591441986069
"FXYD5",4.47265048782526,0.074113348244387,0.171936328592178,0.431051127188944,0.666431195594884,0.767591441986069
"KRT23",1.50142074578132,0.0713826146674145,0.165761822089497,0.430633627017408,0.666734786479164,0.767765201419531
"NBPF4",0.447526563662068,-0.115169778292364,0.267591451376533,-0.430394086582037,0.666908996186832,0.767918333517306
"EIF4G1",80.5770250800907,-0.106493229252054,0.247587418202685,-0.430123751946371,0.667105623054313,0.768097257526713
"HACD1",2.60772526505567,-0.0497297727219705,0.115688555706861,-0.429859050604617,0.667298174721863,0.768146088692964
"ZNF384",3.22949090170742,-0.0525158808198704,0.122173263899587,-0.429847571748863,0.667306525280388,0.768146088692964
"ABI3",1.92008870988626,0.0935191051325702,0.217567915823075,0.429838677172508,0.667312995873556,0.768146088692964
"CD93",1.6787538641934,-0.0912718212241203,0.212312481962754,-0.429893807374605,0.667272890358696,0.768146088692964
"RBM43",1.38522665122942,-0.0668955538462515,0.155736233455065,-0.429543930543005,0.667527431040431,0.768279541577205
"RP11-51F16.8",5.30306930479961,-0.0429038737958471,0.0998891297646466,-0.429514942185751,0.667548522224875,0.768279541577205
"TEX13C",0.351575849560145,-0.125653243456322,0.292550736617171,-0.429509236275655,0.667552673729491,0.768279541577205
"KIF4B",0.367728021859911,-0.110568280528421,0.257514825843867,-0.429366659438318,0.667656413051654,0.768303987983449
"C6orf62",5.16968721756485,0.0676697088984943,0.15759304402449,0.429395277674683,0.667635589830013,0.768303987983449
"MAP7D2",11.644329468414,0.0423896467617532,0.0987490354749463,0.42926643848089,0.667729337913418,0.768340436645167
"ZNF347",3.93130978194479,-0.0428952147489142,0.0999788588726255,-0.429042851984971,0.667892039885712,0.768480178830694
"FAM114A2",7.43034701784817,0.0353240935407228,0.0824034027462187,0.42867275335112,0.668161391780382,0.768742608147594
"NETO2",9.31389250503845,-0.0275547702824081,0.0642973239971474,-0.428552365315088,0.668249017489966,0.768795935748493
"CHD2",20.4218583063319,0.0306759196897577,0.0715901612993405,0.428493512697816,0.66829185563732,0.768797733500137
"PKD1",6.91154612874484,0.0738661747064788,0.172501826201041,0.428205175175317,0.668501748833424,0.768991697984891
"SCGB2A2",0.350884896295478,-0.119056320760043,0.278156839526505,-0.428018670914969,0.668637527053425,0.769100387753788
"VNN3",2.22268258948726,0.0685701916049897,0.160258806236613,0.427871598542609,0.668744605843792,0.769176054615689
"TAAR2",0.916583827457919,0.0850822018383585,0.198896631448473,0.427770954282855,0.668817885662283,0.76921283966321
"PKM",9.52024984769236,-0.0691695027935979,0.161755154775706,-0.42761853796567,0.668928867099417,0.769292978426386
"STRIT1",0.437936759877284,0.112452885414577,0.263062395501419,0.427476094408068,0.669032593443795,0.769364764183745
"TLR5",3.55639273453851,-0.0503044782459778,0.117790197484979,-0.42706846002523,0.669329464679331,0.76965863743161
"DLAT",4.48987471707799,-0.0392893649359003,0.0920691220041246,-0.426737695338728,0.669570391377537,0.76988814802136
"DDX53",0.297607661745563,-0.125208125923874,0.293713457190312,-0.426293460032868,0.669894022793063,0.770212720280469
"IRF7",0.795674857262897,-0.190670305238306,0.44736077997822,-0.426211491422178,0.669953744731931,0.770233840465215
"EEF2",84.1977892014318,0.100595654654836,0.236328139437943,0.425660925923089,0.670354938186074,0.770647517507333
"HTR1B",0.279729412105106,-0.132133356988486,0.310478685365574,-0.425579478452458,0.670414296408288,0.770668190143848
"KCNA10",0.271948616819828,0.146500739470498,0.344422147391111,0.425352261984878,0.670579900708156,0.770810986829802
"DEFA3",0.653958306671159,-0.250138220771903,0.588382768543212,-0.425128392850839,0.670743080993673,0.770903407786508
