"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GLDN",6.54715100478755,-0.887464053128394,0.254381023936233,-3.48871955697001,0.000485340054901256,0.0375159818128368
"ROR1",45.8664718598329,-0.335066472240462,0.0962837370117776,-3.47999031445441,0.000501431909794336,0.0383836438230975
"TSC22D1",21.5786893824067,0.549662889248982,0.158030897465545,3.47819887164041,0.00050479525862697,0.0383836438230975
"HEATR6",4.22560960956177,-1.04330067269391,0.299855841614806,-3.47934082949811,0.000502648865321188,0.0383836438230975
"MB21D2",13.0756393871608,-0.537259390732713,0.154659574259163,-3.47381914961455,0.000513106747182717,0.0388047378369373
"CTSA",3.28317208615804,1.6999338348537,0.490293489175214,3.46717603310087,0.000525957323713031,0.0395627361078979
"SCAP",6.55917332092135,-0.914330186534298,0.264042616543513,-3.46281292960759,0.000534559910033476,0.0399948005415955
"TPO",16.4050837581943,-0.733484062146432,0.212414990048234,-3.45307109436993,0.000554242909620356,0.0408592576934754
"EXOC4",143.212592243946,0.588847666876536,0.170543873915473,3.45276352270728,0.000554875202756081,0.0408592576934754
"CECR2",19.1755985408204,-0.637426426420962,0.184505467499174,-3.45478340051801,0.000550735072534109,0.0408592576934754
"DNAJA2",4.44980171450265,1.27859201917475,0.370875823759942,3.44749357402801,0.000565813866741897,0.0414466063329104
"KCNH1",49.6673941510217,-0.350509588040855,0.101960185840923,-3.43771036851303,0.000586654825624629,0.0427086235253347
"KTN1",21.4252661029931,0.628062880307511,0.182759074546151,3.43656194291414,0.000589147619211608,0.0427086235253347
"MGST2",6.37910439093929,-0.815817315632101,0.237694366965176,-3.43221139839475,0.000598680696319402,0.0431759877433235
"CS",4.04494380507474,-1.45335455269414,0.423664018996055,-3.43044131087203,0.000602600313731613,0.0432357999457384
"RFTN1",21.214227613081,-0.47962393574272,0.139983084773552,-3.42629923121495,0.000611865910330839,0.0436766119971366
"TBX19",3.43168271763595,-1.13887945202345,0.33281627581339,-3.42194638540458,0.000621745724772328,0.0441565707375109
"HPS1",6.06249735937412,0.850065353257867,0.248795334679748,3.41672545569265,0.000633791602361343,0.0447847389325129
"NLGN4Y",8.47613672014163,-1.69535940554152,0.496643166190112,-3.41363683416223,0.000641019599112543,0.0450678653828321
"PRRC2B",70.0496325036292,-1.35113511438773,0.396098663203529,-3.41110748382777,0.000646995813805063,0.0452605921547332
"TGFBI",3.7986418767075,-1.22944487571168,0.360754953988305,-3.40797780354678,0.000654462181255088,0.0454965084455688
"MAP3K9",9.2658990271761,-0.708045771545157,0.207822426513416,-3.40697480740583,0.000656871896648195,0.0454965084455688
"SLIT3",70.0783974013922,-0.401816112227138,0.11802156934288,-3.40459895987121,0.000662612868461038,0.0456680622790068
"BCAT1",13.4415117209022,-0.532856711560096,0.156728710855537,-3.39986661442811,0.0006741873264202,0.0462380141369854
"RAB1A",9.98675882962737,0.852720264145699,0.251259196586208,3.39378727517792,0.000689332161005759,0.0466907859927861
"GLS2",1.41956851755895,-1.75800262232406,0.518459250605348,-3.39082120778332,0.000696835444399365,0.0466907859927861
"MEGF11",34.7805110623135,-0.607374447259407,0.179037861942535,-3.39243577123567,0.000692741709327923,0.0466907859927861
"NDE1",33.7916823814636,1.09968941858098,0.324337650916585,3.39056972100906,0.000697475110606268,0.0466907859927861
"UNC13A",20.230504962359,0.989575509052049,0.291668776374274,3.39280577562478,0.000691806714499506,0.0466907859927861
"TRPM4",6.89295151899268,-0.972425865681419,0.287074383349928,-3.38736551249885,0.000705673049458808,0.0470146268332294
"RP11-295K3.1",5.89887832680397,1.04825881055567,0.30958886930161,3.38597060327265,0.00070926981093384,0.0470303029610206
"GPRIN1",2.94734938212903,1.43258469993664,0.424177831054242,3.3773210079747,0.000731955738765307,0.0480788391599315
"MOSPD2",3.9063877851935,0.860466058709175,0.254729122211821,3.37796499763247,0.000730243750597061,0.0480788391599315
"KIF15",9.34718161960723,-0.655514352410891,0.194176116803833,-3.37587527859117,0.000735812667798138,0.0481063319400175
"HYDIN",56.27620815119,-0.351630934260584,0.104252222277908,-3.37288670281994,0.000743845532382679,0.04840531555147
"RMND5A",10.9772440080789,0.484011963784194,0.143931884635684,3.36278486875447,0.000771604694687108,0.049748946006301
"RBFOX1",244.348556379825,-0.286927227007569,0.0853116675119422,-3.36328236659311,0.000770215391372457,0.049748946006301
"TMEM178B",42.252639717762,-0.390749551402663,0.116342558052764,-3.35861234223033,0.000783348731058807,0.0500979976779701
"MYO1A",2.37768753875797,-1.49421712707299,0.444930045423309,-3.35831922892818,0.000784179936493136,0.0500979976779701
"TRIM58",8.09724787389824,1.06760370944615,0.318225437807384,3.35486602454561,0.000794034302466628,0.0504969723900482
"ZNF439",2.77003031454804,-1.20374045337315,0.35907807889775,-3.35230838114158,0.000801406968962842,0.0507352258043399
"NFE2",2.39797173905246,1.52319579198716,0.455092714048001,3.34700105048594,0.000816909008079184,0.050744584655762
"LAT",1.39368842951141,1.56186449468344,0.466156976066966,3.35051189807588,0.000806623440598985,0.050744584655762
"NOB1",2.58045921042839,1.03515122024459,0.309364305984739,3.34605899975951,0.000819689524137102,0.050744584655762
"POF1B",6.33159683031245,0.751869888416406,0.22460771894898,3.34748018427272,0.000815498177305055,0.050744584655762
"HSFY2",1.87012214222075,-2.84755933158642,0.850138171040912,-3.34952532257181,0.000809501558508958,0.050744584655762
"PSTPIP2",8.42809042270428,0.529916544835676,0.158490717628676,3.34351785873798,0.00082723369391735,0.0509860203154081
"TOGARAM2",11.2200583028135,-1.16019977552262,0.347427386730407,-3.33940218829928,0.000839589119720364,0.0515205762017878
"EPHA10",5.34602331738211,-1.03088974600402,0.309621663310883,-3.32951426906112,0.000869976063660065,0.0524648064942585
"MAS1",3.66886711639503,-1.17481315039224,0.352735469048501,-3.33057844611228,0.000866657401263608,0.0524648064942585
"RAPGEF5",24.1414967626833,-0.351811396678515,0.105598372824482,-3.33159865316551,0.000863486884785449,0.0524648064942585
"AP3B2",4.68397115892935,-1.05275617898653,0.316028349953617,-3.3312080360545,0.000864699540080222,0.0524648064942585
"TENT5C",14.9647699450434,1.11521839171581,0.335261192973652,3.3264165823196,0.000879703463584102,0.052597996406005
"GLTP",3.50188306875739,-1.4054930536457,0.422470939352502,-3.32683960652968,0.000878369158133499,0.052597996406005
"CTB-161K23.4",6.06271043192605,-0.802100844934358,0.241502339938164,-3.32129636979805,0.000896003378891176,0.0530465180720328
