CIRI2-N-averag,DCC-N-averag,,CIRI2-P-averag,DCC-P-averag,,CIRI2-T-averag,DCC-T-averag
13.96666667,12.5568306,,17.63333333,4.566666667,,6.266666667,5.266666667
4.066666667,3.181420765,,4.666666667,3.833333333,,4.166666667,3.533333333
4.4,3.563934426,,44.33333333,8.1,,3.766666667,2.766666667
3.466666667,2.958469945,,10.03333333,5.4,,5.9,4.7
2.933333333,2.671038251,,6.033333333,4.3,,2.366666667,1.666666667
6.666666667,5.666666667,,2.133333333,2.066666667,,6.733333333,5
3.3,2.496721311,,2.433333333,2.1,,33.43333333,15.93333333
6.933333333,6.326775956,,3.066666667,2.2,,2.566666667,2.1
31.76666667,28.09453552,,3.166666667,2.366666667,,3.3,2.533333333
6.6,4.813114754,,1.966666667,1.8,,4.466666667,2.966666667
2.1,2.050819672,,1.7,1.833333333,,5.333333333,4.133333333
24.3,20.31639344,,2.366666667,2.1,,3.9,2.3
3.9,3.342622951,,2.166666667,1.466666667,,2.133333333,1.633333333
6.666666667,5.306010929,,2.966666667,2.466666667,,6.266666667,4.133333333
5,3.803278689,,6.4,4.933333333,,6.7,5.4
7.766666667,6.324043716,,6.933333333,5.966666667,,11,7.6
7.333333333,5.513661202,,9.7,6.366666667,,2.266666667,2.166666667
3.4,3.072131148,,1.866666667,1.533333333,,36.13333333,27.13333333
13.16666667,9.838797814,,2.066666667,1.966666667,,2.333333333,1.966666667
42.03333333,34.54153005,,2.266666667,1.833333333,,2.5,1.666666667
2.7,2.536065574,,1.966666667,1.566666667,,4.333333333,3.8
7.533333333,6.172677596,,17.36666667,13.23333333,,12.06666667,9.666666667
15.86666667,13.19453552,,2.533333333,1.666666667,,3.033333333,2.4
2.533333333,2.172677596,,4.466666667,2.966666667,,5.633333333,4
15.26666667,12.80765027,,3.733333333,2.666666667,,3.366666667,2.933333333
2.8,2.406557377,,4.5,4,,2.466666667,2.133333333
4.333333333,3.677595628,,3.7,2.833333333,,3.333333333,2.233333333
3.666666667,3.174863388,,5.433333333,4,,4.7,2.966666667
2,2.016393443,,3.433333333,3.166666667,,3.4,2.633333333
2.7,2.38852459,,6.033333333,4.933333333,,4.433333333,3.166666667
2.866666667,2.571584699,,3.366666667,2.8,,3.833333333,2.466666667
5.266666667,4.807650273,,4.533333333,2.333333333,,3.133333333,2.766666667
4.133333333,3.543169399,,3.8,3.033333333,,2.166666667,1.7
2.933333333,2.408743169,,5.1,2.8,,11.4,7.366666667
2.3,2.021311475,,15.9,13.06666667,,1.933333333,1.8
2.266666667,2.069945355,,2.566666667,2.3,,2.266666667,1.766666667
2.233333333,2.036612022,,4.266666667,2.966666667,,4.033333333,2.8
4.466666667,3.974863388,,3.7,2.533333333,,5.466666667,3.6
2.033333333,1.754644809,,3.666666667,2.133333333,,9.866666667,7.266666667
10.13333333,8.625136612,,5.4,4.333333333,,3.466666667,2.333333333
2.2,1.986885246,,3.933333333,2.8,,3.2,2.5
9.366666667,7.940437158,,10.3,8.466666667,,1.633333333,1.466666667
28.86666667,24.85027322,,6.866666667,6.333333333,,13.96666667,7.866666667
4.233333333,4.757923497,,33.4,30.86666667,,3,1.866666667
3.133333333,2.657923497,,3.633333333,2.766666667,,2.2,1.866666667
3.033333333,2.672677596,,3.333333333,2.633333333,,2.333333333,2.066666667
4.433333333,3.97431694,,4,3.2,,8.466666667,5.266666667
3.133333333,2.887431694,,6.533333333,5.133333333,,10.63333333,7.5
16.43333333,14.25300546,,4.633333333,2.266666667,,2.233333333,1.733333333
1.666666667,1.683060109,,3,1.8,,4.1,3
5.033333333,4.443169399,,2.233333333,1.9,,2.433333333,2.2
2.4,2.039344262,,5.533333333,4.3,,20.36666667,13.83333333
1.666666667,1.617486339,,8.833333333,3.566666667,,2.666666667,2.233333333
13.63333333,11.33825137,,11.96666667,9.833333333,,1.666666667,1.633333333
5.133333333,4.641530055,,5.333333333,4.2,,4.733333333,3.2
32.26666667,27.36502732,,9.1,7,,4.533333333,3.333333333
3.5,3.024590164,,3.2,2.366666667,,2.1,1.566666667
2.933333333,2.736612022,,5.066666667,3.2,,9.366666667,7.6
2.233333333,1.971038251,,1.933333333,1.533333333,,2.8,2.433333333
6.466666667,5.040437158,,6.033333333,5.2,,2.7,1.766666667
23,17.2295082,,4.833333333,3.466666667,,1.9,1.666666667
3.166666667,3.00273224,,8.933333333,7.366666667,,10.53333333,6.666666667
19.7,17.12622951,,13.2,10.1,,1.633333333,1.5
15.8,13.04590164,,3.3,2,,1.733333333,1.633333333
3.9,3.129508197,,3.866666667,3.5,,4.2,3.233333333
2.5,2.172131148,,3.833333333,2.3,,7.366666667,5.366666667
6.3,5.414754098,,2.433333333,1.966666667,,7.133333333,3.966666667
2.9,2.506557377,,3.5,2.533333333,,8.4,5.5
9.8,7.701639344,,7.766666667,6.366666667,,6.666666667,4.866666667
3.3,2.955737705,,2.3,2.3,,32.5,16.93333333
3.833333333,3.620218579,,17.3,11.33333333,,20.3,14.46666667
4.366666667,4.038797814,,22,15.03333333,,11,7.166666667
3.866666667,3.538797814,,4.066666667,3.3,,6,3.933333333
5.666666667,4.928961749,,6.233333333,4.433333333,,7.966666667,4.8
2.566666667,2.369945355,,4,2.2,,2.833333333,2.366666667
4.666666667,4.092896175,,19.4,15.03333333,,1.966666667,1.733333333
8.566666667,6.763387978,,7.133333333,4.333333333,,6.5,4.733333333
4.566666667,3.763387978,,7.533333333,4.9,,4.1,3.5
6.366666667,5.497814208,,4.033333333,3.566666667,,1.866666667,1.766666667
4.033333333,3.426775956,,2.866666667,2.466666667,,2.3,2.033333333
13.06666667,10.85355191,,1.766666667,1.766666667,,5.433333333,3.533333333
5.933333333,4.85136612,,2.6,1.633333333,,18.7,14.6
1.866666667,1.883060109,,4.833333333,3.8,,10.2,6.3
3.366666667,2.956830601,,7.3,4.766666667,,7.6,4.366666667
3.3,2.939344262,,4.866666667,2.1,,5.766666667,2.866666667
2.1,2.018032787,,5.366666667,3.533333333,,7.1,4.366666667
2.5,2.418032787,,3.8,3.333333333,,12.7,10.43333333
4.033333333,3.689071038,,6.7,4.6,,3.966666667,3.4
1.566666667,1.583060109,,10.13333333,7.3,,3.5,2.866666667
4.733333333,4.175956284,,3.633333333,2.266666667,,6.866666667,5.233333333
3.8,3.291803279,,7.633333333,5.733333333,,21.16666667,12.13333333
2.766666667,2.143715847,,41.83333333,29.4,,2.366666667,2.166666667
2.866666667,2.587978142,,2,1.8,,17.2,13.06666667
3.766666667,3.209289617,,6.866666667,5,,2.633333333,2.133333333
10.56666667,9.140437158,,10,5.533333333,,2.666666667,2.466666667
2.8,2.42295082,,6.266666667,3.866666667,,3.3,2.433333333
9.166666667,7.773224044,,5.066666667,3.766666667,,7.9,4.933333333
6.133333333,4.641530055,,4.2,3.066666667,,1.866666667,1.4
1.966666667,1.933879781,,16.2,11.73333333,,9.033333333,6.833333333
4.533333333,4.025136612,,6.066666667,2.833333333,,6.666666667,3.8
9.166666667,7.232240437,,2.066666667,1.6,,2.833333333,2.266666667
2.633333333,2.420218579,,3.466666667,1.766666667,,3.033333333,2.533333333
8.4,7.006557377,,3.233333333,2.433333333,,12.46666667,8
1.766666667,1.651912568,,20.43333333,15.1,,2.5,2.066666667
3.033333333,2.721857923,,2.133333333,1.766666667,,5.833333333,3.833333333
5,4.31147541,,2.9,1.966666667,,3.4,2.1
8.266666667,7.397814208,,1.766666667,1.533333333,,5.433333333,3.633333333
2,1.967213115,,2.2,2.066666667,,5.2,3.5
2.733333333,2.389071038,,5.433333333,3.433333333,,7.866666667,5.966666667
2.533333333,2.516939891,,4.8,3.066666667,,27.76666667,21.63333333
16.36666667,14.98961749,,3.4,3.333333333,,30.56666667,21.3
4.133333333,3.641530055,,3.7,2.466666667,,1.933333333,1.766666667
7.933333333,6.195628415,,5.9,3.933333333,,3.066666667,2.1
2.933333333,2.621857923,,25.5,13.8,,2.466666667,2.133333333
6.033333333,5.656284153,,5.2,3.633333333,,16.83333333,9.333333333
2.4,2.301639344,,2.9,2.2,,6.566666667,5.366666667
1.833333333,1.980874317,,12.5,5.666666667,,9.433333333,7.1
6.3,5.529508197,,4.5,3.866666667,,3.533333333,2.9
4.8,4.078688525,,2.7,2.533333333,,6.966666667,5.266666667
10.93333333,9.293989071,,18.53333333,11.86666667,,2.033333333,1.6
2.633333333,2.338251366,,4.333333333,3.133333333,,19.8,16.03333333
12.36666667,10.64535519,,1.733333333,1.566666667,,3.533333333,2.866666667
2.933333333,2.572677596,,12.86666667,11.1,,10.56666667,6.666666667
5.266666667,4.184699454,,3,2.4,,1.966666667,1.6
4.633333333,4.190710383,,5,2.9,,14.16666667,9.2
1.5,1.450819672,,7.866666667,3.2,,23.96666667,13.8
3.166666667,2.93715847,,2.2,2.333333333,,4.8,3.566666667
2.4,2.104918033,,4.866666667,3.433333333,,1.866666667,1.566666667
2,1.901639344,,4.333333333,3.6,,22.9,16.93333333
7.166666667,5.019125683,,8.2,6.533333333,,8.266666667,7.566666667
2.8,2.537704918,,3.833333333,2.866666667,,3.8,3.3
38.13333333,33.6579235,,5.333333333,3.566666667,,7.233333333,3.733333333
