CIRI2-P-averag,DCC-P-averag
2.266666667,1.933333333
14.33333333,11.3
2.8,2
2.266666667,1.9
6.633333333,3.9
4.5,2.166666667
2.433333333,2.133333333
2.2,1.666666667
3.033333333,1.666666667
10.36666667,7.733333333
1.966666667,1.6
3.733333333,2.433333333
7.566666667,6.266666667
3.5,2.666666667
50.16666667,20.06666667
2.133333333,1.966666667
1.633333333,1.8
2.566666667,1.866666667
5.966666667,4.766666667
21.73333333,13.86666667
2.633333333,2.3
5.833333333,4.466666667
5.566666667,4.166666667
13.5,6.833333333
3.3,3.633333333
7.133333333,5.066666667
2.133333333,1.766666667
5.233333333,3.066666667
3.466666667,2.633333333
4.8,2.133333333
5.066666667,4.366666667
3.133333333,2.066666667
2.566666667,1.8
2.8,2.233333333
3.4,2.066666667
2.1,1.8
3.5,3.066666667
4.2,2.833333333
5.166666667,2.5
4.633333333,2.733333333
9.533333333,7.066666667
5.1,2.2
10.23333333,6.8
8.166666667,9.766666667
2.266666667,2.066666667
2.366666667,2
5.366666667,4.566666667
2.333333333,1.666666667
9.2,6.633333333
23.8,15
3.2,2.8
2.966666667,1.833333333
4.133333333,2.366666667
6,3
3.833333333,3.7
4.466666667,3.033333333
16.7,12.43333333
11.36666667,7.833333333
2.266666667,2.133333333
6.7,4.4
3.233333333,2.833333333
2.333333333,2.2
2.133333333,1.8
3,2.733333333
2.666666667,2.4
7,2.633333333
2.133333333,1.766666667
3.733333333,3.066666667
2.966666667,2.533333333
4.3,2.533333333
20.63333333,11.26666667
11.36666667,5.633333333
2.3,2.433333333
3.466666667,2.866666667
8.8,5.166666667
6.633333333,5.166666667
3.133333333,2.4
5,3.6
4.7,3.466666667
7.7,6.2
16.46666667,12.9
10.93333333,6.766666667
3.533333333,2.4
2.3,1.933333333
2.666666667,2
6,4.766666667
8.133333333,6.433333333
3.9,2.8
5.533333333,3.8
15.23333333,10.3
5.133333333,2.433333333
3.633333333,3.066666667
2.266666667,2.2
2.333333333,2.366666667
3.6,3.066666667
13.76666667,11.23333333
4.566666667,2.033333333
4.766666667,3
3.566666667,3.066666667
11.96666667,6.766666667
2.8,2.466666667
4.566666667,2.8
9.333333333,6.5
26.1,17.23333333
8.833333333,5.266666667
2.766666667,2.433333333
2.266666667,2.1
65.06666667,20.2
2.6,1.9
5.8,4.3
3.266666667,2.866666667
9.633333333,5.766666667
3.6,2.7
2.2,1.9
6.7,5.366666667
2.866666667,2.566666667
20.43333333,15
3.7,2.9
6.666666667,4.833333333
4.4,2.3
4.2,2.8
10.33333333,8.7
3.233333333,2.633333333
3.066666667,1.966666667
3.066666667,2.533333333
4.633333333,3.766666667
5.266666667,4.266666667
3.566666667,2.933333333
7.533333333,5.9
7.066666667,4.1
5.7,3.8
16.43333333,10.5
3.433333333,2.633333333
2.5,2.233333333
15.66666667,10.06666667
4.2,2.766666667
6.633333333,4.766666667
1.866666667,1.6
4.666666667,2.966666667
5.4,3.366666667
88.26666667,61.36666667
2,1.7
2.333333333,1.833333333
2.266666667,1.833333333
21.93333333,13.76666667
2.9,2.433333333
2.566666667,1.8
7.033333333,5.566666667
7.233333333,4.833333333
2.033333333,1.766666667
3.833333333,3.233333333
2.933333333,2.733333333
3.766666667,2.933333333
4.366666667,2.966666667
1.7,1.666666667
2.966666667,2.033333333
12.8,6.9
1.933333333,1.6
3.733333333,2.633333333
12.66666667,4.166666667
2.566666667,2.3
3.966666667,3.1
2.1,1.9
6.2,2.766666667
4.2,2.333333333
1.5,1.6
12.96666667,9.333333333
3.533333333,2.866666667
13.33333333,10.33333333
13.03333333,9.6
5.933333333,5.566666667
21.13333333,13.4
2.333333333,1.9
17.5,12.03333333
2.866666667,2.2
1.633333333,1.633333333
2.5,2.066666667
2.733333333,1.933333333
6.6,3.966666667
2.466666667,1.733333333
2.8,1.833333333
6.566666667,4.066666667
20.8,14.8
2.2,1.966666667
2.8,2.233333333
1.966666667,1.733333333
13.43333333,12
2.866666667,2.333333333
2.533333333,1.966666667
4.866666667,3.433333333
3.366666667,2.866666667
2.466666667,2
3.1,2.333333333
3.3,2.566666667
4,2.966666667
5.466666667,3.7
41,32.13333333
6.3,4.766666667
5.033333333,3.833333333
6.033333333,5.066666667
3.666666667,2.6
5.4,4.366666667
3.5,3.1
3.066666667,2.533333333
2.066666667,1.966666667
1.766666667,1.466666667
2.766666667,2.466666667
4.833333333,3.766666667
3.866666667,3.5
4.666666667,3.2
2.866666667,2.166666667
4.733333333,2.866666667
7.733333333,4.766666667
7.3,6.033333333
1.933333333,1.866666667
4.8,3.666666667
2.1,2.133333333
3.633333333,2.766666667
2.4,2.166666667
3,2.633333333
2.633333333,2.2
2.166666667,1.866666667
4.466666667,3.366666667
13.3,7.433333333
3.233333333,2.4
31.63333333,21.86666667
6.566666667,4.166666667
3.9,2.6
6.033333333,3.133333333
5.9,3
9.333333333,7.3
4.1,3.033333333
3.533333333,2.566666667
2.4,2.166666667
